date,rank,song,artist,last_week,peak_rank,weeks_on_board
1999-02-06,80,How Forever Feels,Kenny Chesney,80.0,80,231
1980-05-31,88,Take Your Time (Do It Right) Part 1,The S.O.S. Band,88.0,88,231
1994-11-26,96,House Of Love,Amy Grant With Vince Gill,96.0,96,231
2012-05-12,70,Scream,Usher,70.0,70,231
1984-02-11,73,Hold Me Now,Thompson Twins,73.0,73,231
2002-03-09,60,Don't Let Me Get Me,P!nk,60.0,60,231
1989-04-29,62,Baby Don't Forget My Number,Milli Vanilli,62.0,62,231
1990-02-24,89,House Of Pain,Faster Pussycat,89.0,89,231
2000-08-05,57,Come On Over Baby (All I Want Is You),Christina Aguilera,57.0,57,231
2014-12-20,90,Geronimo,Sheppard,96.0,90,231
2004-01-03,74,Splash Waterfalls,Ludacris,74.0,74,231
1973-06-02,89,Touch Me In The Morning,Diana Ross,89.0,89,231
1986-09-20,74,The Next Time I Fall,Peter Cetera With Amy Grant,74.0,74,231
1985-03-23,86,Walking On Sunshine,Katrina And The Waves,86.0,86,231
1975-11-01,86,You Sexy Thing,Hot Chocolate,86.0,86,231
1986-12-06,79,I'll Be Alright Without You,Journey,79.0,79,231
2009-07-25,11,Obsessed,Mariah Carey,11.0,11,231
2013-05-18,75,Hey Girl,Billy Currington,93.0,75,231
2014-01-25,90,Partition,Beyonce,90.0,90,231
2004-09-04,58,Broken,Seether Featuring Amy Lee,58.0,58,231
1958-11-24,91,16 Candles,The Crests,91.0,91,231
2016-10-01,73,Blue Ain't Your Color,Keith Urban,73.0,73,231
1980-11-29,83,Smoky Mountain Rain,Ronnie Milsap,83.0,83,231
2004-11-27,88,Bring Em Out,T.I.,88.0,88,231
1981-05-23,72,Boy From New York City,The Manhattan Transfer,72.0,72,231
1977-03-19,83,Lonely Boy,Andrew Gold,83.0,83,231
1997-04-12,17,Where Have All The Cowboys Gone?,Paula Cole,17.0,17,231
1979-07-28,87,Don't Stop 'til You Get Enough,Michael Jackson,87.0,87,231
1978-03-25,78,It's A Heartache,Bonnie Tyler,78.0,78,231
1985-11-30,89,Life In A Northern Town,The Dream Academy,89.0,89,231
2013-10-26,100,Ready Set Roll,Chase Rice,93.0,100,231
2005-12-24,76,Shake That,Eminem Featuring Nate Dogg,76.0,76,231
1980-11-08,80,Together,Tierra,80.0,80,231
1975-06-28,90,Fame,David Bowie,90.0,90,231
2019-06-01,86,What If I Never Get Over You,Lady Antebellum,96.0,86,231
1986-09-13,81,Word Up,Cameo,81.0,81,231
1989-07-08,97,(You're My One And Only) True Love,Seduction,97.0,97,231
